Nome_query,run_id,tempo_ms
MongoQuery1,0,363.4877000004053
MongoQuery1,1,408.319299982395
MongoQuery2,2,400.35700000589713
MongoQuery3,3,390.2589000063017
MongoQuery4,4,380.1120999851264
MongoQuery5,5,355.41309998370707
MongoQuery6,6,376.96650001453236
MongoQuery7,7,414.38879998167977
MongoQuery8,8,394.2887000157498
MongoQuery9,9,354.06859999056906
MongoQuery10,10,368.80830000154674
MongoQuery11,11,349.1733999690041
MongoQuery12,12,341.9413000228815
MongoQuery13,13,357.13050002232194
MongoQuery14,14,395.2174999867566
MongoQuery15,15,381.6178999841213
MongoQuery16,16,355.6628000224009
MongoQuery17,17,378.0278000049293
MongoQuery18,18,372.52759997500107
MongoQuery19,19,357.5350000173785
MongoQuery20,20,368.77080000704154
MongoQuery21,21,347.93200000422075
MongoQuery22,22,359.3779999646358
MongoQuery23,23,316.2270999746397
MongoQuery24,24,340.5616999953054
MongoQuery25,25,362.40709997946396
MongoQuery26,26,374.20590000692755
MongoQuery27,27,381.2659999821335
MongoQuery28,28,362.3914999770932
MongoQuery29,29,381.0494999634102
MongoQuery30,30,392.09560002200305
Media,-,370.6033433283058
