Nome_query,run_id,tempo_ms
MongoQuery4,0,589.0591000206769
MongoQuery1,1,759.7647000220604
MongoQuery2,2,676.36909999419
MongoQuery3,3,584.6590000437573
MongoQuery4,4,586.1370000056922
MongoQuery5,5,680.4866999736987
MongoQuery6,6,611.7590999929234
MongoQuery7,7,571.0424000280909
MongoQuery8,8,594.396099972073
MongoQuery9,9,585.1582000032067
MongoQuery10,10,591.588800016325
MongoQuery11,11,579.8632999649271
MongoQuery12,12,593.336799996905
MongoQuery13,13,586.7839000420645
MongoQuery14,14,601.3478999957442
MongoQuery15,15,587.0758999953978
MongoQuery16,16,583.9278000057675
MongoQuery17,17,581.0719999717548
MongoQuery18,18,648.7207000027411
MongoQuery19,19,716.6879000142217
MongoQuery20,20,598.250100039877
MongoQuery21,21,597.2638999810442
MongoQuery22,22,606.3552999985404
MongoQuery23,23,572.7799999876879
MongoQuery24,24,599.3411999661475
MongoQuery25,25,564.4331000512466
MongoQuery26,26,594.2404000088573
MongoQuery27,27,634.2106999945827
MongoQuery28,28,584.5127999782562
MongoQuery29,29,620.2615000074729
MongoQuery30,30,567.5992000033148
Media,-,608.647516668619
