Nome_query,run_id,tempo_ms
Query0,0,59.14740002481267
Query,1,42.87880001356825
Query,2,37.88209997583181
Query,3,31.462299986742437
Query,4,36.420099961105734
Query,5,33.83080003550276
Query,6,31.353300029877573
Query,7,30.83210001932457
Query,8,37.23110002465546
Query,9,37.63419995084405
Query,10,31.33909997995943
Query,11,30.52709996700287
Query,12,36.59760003210977
Query,13,35.23099998710677
Query,14,36.523799994029105
Query,15,49.665600003208965
Query,16,48.898099979851395
Query,17,44.466499995905906
Query,18,68.37569997878745
Query,19,63.7169000110589
Query,20,57.059000013396144
Query,21,55.732700042426586
Query,22,52.71010001888499
Query,23,54.828999971505255
Query,24,36.00130003178492
Query,25,37.08360000746325
Query,26,37.85059996880591
Query,27,42.40759997628629
Query,28,41.32910002954304
Query,29,29.8604000126943
Query,30,44.26490003243089
Query,31,35.74269998352975
Media,-,41.56194666672187
