Nome_query,run_id,tempo_ms
MongoQuery3,0,481.6300999955274
MongoQuery1,1,516.9656000216492
MongoQuery2,2,542.5638000015169
MongoQuery3,3,451.8839999800548
MongoQuery4,4,446.96979998843744
MongoQuery5,5,436.47770001553
MongoQuery6,6,464.1031000064686
MongoQuery7,7,453.37390003260225
MongoQuery8,8,467.0396000146866
MongoQuery9,9,458.0811000196263
MongoQuery10,10,456.40159997856244
MongoQuery11,11,455.60139999724925
MongoQuery12,12,459.6240999526344
MongoQuery13,13,441.84149999637157
MongoQuery14,14,400.43959999457
MongoQuery15,15,493.21069999132305
MongoQuery16,16,452.9365000198595
MongoQuery17,17,486.9650999899022
MongoQuery18,18,439.2513000057079
MongoQuery19,19,468.0124000296928
MongoQuery20,20,460.6307999929413
MongoQuery21,21,449.11760004470125
MongoQuery22,22,508.77829996170476
MongoQuery23,23,421.29069997463375
MongoQuery24,24,463.2311000023037
MongoQuery25,25,342.2916000126861
MongoQuery26,26,508.34000000031665
MongoQuery27,27,439.300199970603
MongoQuery28,28,455.3839999716729
MongoQuery29,29,463.3365999907255
MongoQuery30,30,456.888800021261
Media,-,458.6777499993332
