Nome_query,run_id,tempo_ms
Query2,0,48.92750002909452
Query,1,39.53330003423616
Query,2,39.80830003274605
Query,3,38.64569996949285
Query,4,39.216699951794
Query,5,42.39660000894219
Query,6,39.74120004568249
Query,7,36.959199991542846
Query,8,38.0445999908261
Query,9,40.672399976756424
Query,10,38.91340002883226
Query,11,36.72309999819845
Query,12,39.56500004278496
Query,13,36.978599964641035
Query,14,38.43180002877489
Query,15,37.53760003019124
Query,16,38.74129999894649
Query,17,37.51749999355525
Query,18,38.51839998969808
Query,19,37.522499973420054
Query,20,35.13329999987036
Query,21,37.075100000947714
Query,22,39.699000015389174
Query,23,37.513599963858724
Query,24,43.62429998582229
Query,25,37.381600006483495
Query,26,39.010000007692724
Query,27,37.08039998309687
Query,28,37.554799986537546
Query,29,36.32700000889599
Query,30,40.031999989878386
