Nome_query,run_id,tempo_ms
MongoQuery2,0,487.520000024233
MongoQuery1,1,514.6528999903239
MongoQuery2,2,518.678699969314
MongoQuery3,3,495.48240000149235
MongoQuery4,4,467.58680004859343
MongoQuery5,5,462.3484999756329
MongoQuery6,6,485.02890003146604
MongoQuery7,7,441.9338000006974
MongoQuery8,8,476.6743000363931
MongoQuery9,9,453.96499999333173
MongoQuery10,10,466.44210000522435
MongoQuery11,11,525.0474999775179
MongoQuery12,12,493.5410000034608
MongoQuery13,13,565.5716999899596
MongoQuery14,14,584.2305999831297
MongoQuery15,15,483.84230001829565
MongoQuery16,16,475.34389997599646
MongoQuery17,17,526.0552000254393
MongoQuery18,18,462.7193000051193
MongoQuery19,19,565.6474000425078
MongoQuery20,20,473.3688000123948
MongoQuery21,21,493.5399999958463
MongoQuery22,22,473.44390000216663
MongoQuery23,23,488.3991999668069
MongoQuery24,24,457.05850003287196
MongoQuery25,25,485.9009999781847
MongoQuery26,26,463.6241000262089
MongoQuery27,27,506.5945999813266
MongoQuery28,28,461.4237999776378
MongoQuery29,29,485.34790001576766
MongoQuery30,30,496.7793000396341
Media,-,491.67578000342473
