Nome_query,run_id,tempo_ms
MongoQuery0,0,11.004400032106787
MongoQuery1,1,6.65529997786507
MongoQuery2,2,4.64340002508834
MongoQuery3,3,5.071699968539178
MongoQuery4,4,7.1155999903567135
MongoQuery5,5,5.034100031480193
MongoQuery6,6,10.06310002412647
MongoQuery7,7,9.193799982313067
MongoQuery8,8,7.659700000658631
MongoQuery9,9,7.585000013932586
MongoQuery10,10,8.90740001341328
MongoQuery11,11,6.576600018888712
MongoQuery12,12,8.000300033017993
MongoQuery13,13,5.655099987052381
MongoQuery14,14,7.211100019048899
MongoQuery15,15,7.5057000503875315
MongoQuery16,16,7.220399973448366
MongoQuery17,17,5.615100031718612
MongoQuery18,18,5.460600019432604
MongoQuery19,19,5.9779000002890825
MongoQuery20,20,5.410899990238249
MongoQuery21,21,5.240099970251322
MongoQuery22,22,5.078800022602081
MongoQuery23,23,5.078000016510487
MongoQuery24,24,5.2069000084884465
MongoQuery25,25,5.524500040337443
MongoQuery26,26,5.130700010340661
MongoQuery27,27,5.312599998433143
MongoQuery28,28,4.884399997536093
MongoQuery29,29,5.139100016094744
MongoQuery30,30,2.897700003813952
Media,-,6.201853341190144
