Nome_query,run_id,tempo_ms
Query4,0,65.89500000700355
Query,1,94.78959999978542
Query,2,69.77740000002086
Query,3,83.31429999088868
Query,4,131.7280000075698
Query,5,108.96969999885187
Query,6,89.88200000021607
Query,7,61.37559999478981
Query,8,94.46809999644756
Query,9,75.74639999074861
Query,10,80.60570002999157
Query,11,103.53600000962615
Query,12,69.50230000074953
Query,13,115.7348999986425
Query,14,94.73440004512668
Query,15,77.66770001035184
Query,16,80.2916000247933
Query,17,92.05019997898489
Query,18,106.49289999855682
Query,19,65.61869999859482
Query,20,65.58689998928457
Query,21,60.11750001925975
Query,22,61.36819999665022
Query,23,69.33359999675304
Query,24,75.37839998258278
Query,25,57.20809998456389
Query,26,64.72389999544248
Query,27,62.487099959980696
Query,28,89.62149999570101
Query,29,56.940099981147796
Query,30,76.11839997116476
Query,31,70.70179999573156
Media,-,80.36937999810714
